"",WG1 H16.06.008,WG4 H16.06.009,WG4 H16.06.010,WG1 H17.06.015,Fold Change,Score
MATN2,3.51,2.85,2.4,3.62,-0.935,-0.669
KLF3-AS1,4.62,3.8,3.96,5.02,-0.937,-0.669
CADPS,9.96,9.26,9.31,10.3,-0.873,-0.668
GALNT13,9.76,8.69,8.93,9.59,-0.864,-0.667
NECAB3,1.86,0.55,1.23,2.42,-1.25,-0.667
TPD52,7.54,6.74,6.46,7.39,-0.866,-0.666
GNAL,7.35,4.47,6.79,8.76,-2.42,-0.665
LZTS3,2.99,2.29,2.37,4.5,-1.41,-0.665
INHBA-AS1,5.42,4.85,2.24,5.95,-2.14,-0.664
LOC105377923,5.17,3.49,2.61,4.09,-1.58,-0.663
ADRBK2,7.84,7.22,6.79,8.51,-1.17,-0.661
LINC01239,1.28,0.599,0.624,1.44,-0.746,-0.66
LOC105372079,3.06,2.03,2.42,3.36,-0.981,-0.66
JUN,2.04,1.15,1.13,1.8,-0.777,-0.66
CENPP,6.37,5.72,5.61,6.45,-0.743,-0.658
LOC105375152,1.09,0.441,0.439,1.4,-0.803,-0.656
LOC105374808,2.53,1.93,1.52,3.7,-1.39,-0.655
KLHL20,4.89,4.3,4.04,6.41,-1.48,-0.655
LOC105379032,0.917,0.0149,0.302,1.6,-1.1,-0.652
LOC100996813,2.72,2.09,2.01,3.24,-0.928,-0.651
LOC729987,2.77,0.787,2.18,2.85,-1.33,-0.65
CHL1,6.98,5.87,6.39,7.83,-1.27,-0.649
LOC101929147,3.83,3.22,2.97,4.57,-1.1,-0.648
DOCK4,10.1,9.38,9.03,10,-0.857,-0.647
NBPF9,2.3,1.53,1.69,2.94,-1.01,-0.645
MAML2,9.4,8.24,7.99,8.84,-1.01,-0.644
PRDX6,2.3,1.47,1.7,3.13,-1.13,-0.644
LINC00643,2.68,2.02,1.71,2.65,-0.801,-0.643
RGS20,1.64,1.1,0.746,3.59,-1.69,-0.643
LOC105373153,5.97,4.43,5.39,6.38,-1.27,-0.642
KCNC4,3.84,2.3,3.28,4.67,-1.46,-0.642
MLXIPL,2.95,2.41,2.09,4.68,-1.56,-0.638
ANKRD26P3,2.29,1.76,1.7,4.39,-1.61,-0.638
LOC105377372,2.46,1.88,1.86,3.68,-1.2,-0.638
SCN1A,6.28,5.78,4.77,8.12,-1.92,-0.636
JAG1,4.12,3.56,3.12,4.94,-1.19,-0.634
CSNK1G1,7.17,6.55,6.46,7.27,-0.713,-0.633
SLIT2,1.85,1.4,1.5,6.93,-2.94,-0.631
NKAIN3,9.74,8.94,9.09,9.71,-0.713,-0.631
LOC102724069,3.45,2.9,2.46,4.4,-1.25,-0.63
PRKG1,5.74,5.44,2.89,9.03,-3.22,-0.627
LRRC37A,1.96,1.09,1.43,3.11,-1.28,-0.623
LOC101927815,2.45,0.678,0.856,1.4,-1.16,-0.622
HLF,4.56,4.01,3.39,5.05,-1.1,-0.619
LOC105373847,1.87,0.703,1.34,2.57,-1.2,-0.618
GRM3,5.51,5.04,3.45,6.36,-1.68,-0.617
ARHGAP10,3.8,3.26,3.18,4.84,-1.1,-0.616
TENM3,7.77,4.78,7.16,7.61,-1.72,-0.616
RPL28,4.24,2.16,2.8,3.32,-1.3,-0.616
SAMD3,6.67,3.06,6.27,6.7,-2.02,-0.615
LINC01135,1.71,0.661,1.13,1.81,-0.864,-0.614
NRG4,2.59,1.85,1.99,2.73,-0.741,-0.614
CHN2,2.99,2.14,2.5,4.39,-1.37,-0.613
TCP11L2,2.27,1.65,1.77,3.88,-1.36,-0.613
LOC105377902,7.39,5.67,5.87,6.4,-1.13,-0.611
FAM107B,3.43,2.25,2.93,4.44,-1.34,-0.61
PELI2,2.33,0.709,1.88,3.46,-1.6,-0.608
LOC105379031,0.804,0.0579,0.228,1.06,-0.788,-0.607
PNCK,2.52,1.65,1.95,2.66,-0.789,-0.606
PPP3R1,7.11,6.22,6.54,7.19,-0.771,-0.602
LOC101927636,1.88,1.22,1.31,2.23,-0.791,-0.602
CDH18,8.6,7.1,7.97,8.5,-1.02,-0.602
DCLK3,1.2,0.584,0.69,2.27,-1.1,-0.601
LINC01252,1.96,1.33,1.37,2.14,-0.693,-0.601
DGKI,9.32,8.81,7.99,9.66,-1.09,-0.599
SLC29A4,2.89,2.51,2.32,5.48,-1.77,-0.598
SSBP2,6.17,5.65,5.07,6.67,-1.06,-0.597
ARL17B,2.54,1.51,2.12,4.17,-1.54,-0.597
DSP,1.16,0.657,0.621,2.3,-1.09,-0.597
LOC101927268,2.93,2.21,2.36,3.17,-0.763,-0.596
CRB1,4.63,4.14,4.15,6.12,-1.23,-0.596
SMAD9,4.98,4.46,3.93,5.45,-1.02,-0.596
MAN2A1,2.98,1.76,2.45,3.13,-0.95,-0.596
GAD1,2.42,1.48,2.02,4.29,-1.61,-0.594
EPHA6,9.99,9.5,8.27,10,-1.13,-0.594
ACER2,3.35,2.56,2.94,5.22,-1.54,-0.593
OR2L13,4.76,2.86,4.42,6.39,-1.93,-0.592
PIK3CB,6.27,5.19,5.77,6.85,-1.08,-0.592
TENM1,4.61,4.15,4.08,6.17,-1.27,-0.592
SEZ6L,7.79,7.27,7.3,8.88,-1.05,-0.588
MPP6,5.52,5.01,4.74,6.11,-0.945,-0.588
LOC101928250,5.53,2.78,5.26,6.81,-2.15,-0.588
FAM182A,1.12,0.548,0.587,1.67,-0.831,-0.587
CA10,8.42,7.06,7.97,9.06,-1.23,-0.585
ZDHHC11B,4.35,3.89,4.01,7.02,-1.73,-0.583
RNR1,2.75,0.889,1.64,2.09,-1.16,-0.581
LOC105375734,1.58,1.06,1.05,2.27,-0.872,-0.58
BTBD9,9.88,8.89,9.37,10.1,-0.883,-0.58
ICAM5,3.37,2.86,2.91,4.62,-1.11,-0.579
NRP2,5.43,4.55,4.94,6.03,-0.981,-0.578
FRMD4B,2.54,2.41,1.47,6.46,-2.56,-0.577
LOC105370198,2.59,1.75,1.99,2.54,-0.693,-0.576
ATP6V1H,8.62,7.26,7.88,8.38,-0.929,-0.575
SNCAIP,3.4,3.13,1.9,5.45,-1.91,-0.575
PKP2,2.46,2,1.3,3.03,-1.09,-0.574
PTPN13,7.68,6.1,5.47,6.5,-1.3,-0.573
RALGDS,3.13,2.34,2.7,4.18,-1.14,-0.572
SOX2-OT,6.99,5.76,5.96,6.46,-0.869,-0.571
ARL17A,4.19,3.13,3.69,4.32,-0.849,-0.571
RGPD1,2.93,1.52,1.34,1.98,-1.03,-0.571
CNTNAP5,8.23,6.28,7.92,9.25,-1.64,-0.569
N4BP2,3.69,2.52,3.33,4.99,-1.41,-0.566
LOC339529,2.73,2.2,2.08,2.91,-0.679,-0.565
GRIA4,7.58,6.69,7.1,7.99,-0.89,-0.564
MYO16,7.04,2.41,6.55,6.65,-2.37,-0.562
RNASEH2B,3.3,2.49,2.8,3.59,-0.803,-0.562
PITPNM2,5.16,4.79,4.75,7,-1.31,-0.561
PPARD,4.4,3.68,3.93,5.07,-0.928,-0.561
LOC285696,7.06,6.66,6.23,8.19,-1.18,-0.56
LOC105373927,1.08,0.463,0.374,1.01,-0.623,-0.56
ARMC4P1,1.26,0.86,0.821,2.74,-1.16,-0.559
FILIP1,3.11,2.62,2.51,3.65,-0.817,-0.558
LOC102725227,1.22,0.331,0.677,1.19,-0.703,-0.556
LOC101929322,2.82,0.623,2.53,3.41,-1.54,-0.556
B4GALNT1,1.7,0.91,1.14,1.66,-0.66,-0.554
GRM2,2,1.32,1.58,2.93,-1.02,-0.552
NWD2,2.26,2.1,0.866,4.6,-1.94,-0.552
PTGR1,6.67,5.86,5.82,6.37,-0.682,-0.551
LAMB1,5.1,4.73,4.52,6.48,-1.17,-0.551
STARD9,1.72,1.09,1.25,2.28,-0.827,-0.55
EHD1,0.819,0.413,0.395,2.09,-1.05,-0.55
BCYRN1,4.79,4.18,4.28,5.04,-0.686,-0.549
LOC101927066,5.78,5.16,5.32,6.35,-0.829,-0.548
RGS7BP,7.7,6.69,7.22,7.79,-0.791,-0.548
LONRF3,3.29,2.77,2.87,4.31,-0.981,-0.547
AR,0.564,0.197,0.174,2.12,-1.16,-0.546
FAIM2,2.8,1.88,2.36,3.25,-0.908,-0.546
CCDC144CP,4.24,3.77,3.88,5.81,-1.2,-0.546
LOC100506497,2.35,0.51,2.06,3.04,-1.41,-0.545
TMEM200A,3.51,1.81,3.21,4.24,-1.37,-0.545
DSE,3.03,2.39,2.52,3.22,-0.67,-0.544
SLIT1,7.78,6.92,7.38,8.51,-1,-0.543
LOC645513,5.46,4.95,4.79,5.59,-0.652,-0.542
NUAK1,3.87,2.72,3.56,5.02,-1.31,-0.542
LOC101929237,0.59,0.0273,0.113,1.06,-0.754,-0.542
CTBP2,4.66,4.23,4.3,6.16,-1.15,-0.542
ESYT3,2.24,1.75,1.84,3.38,-1.01,-0.54
LINC00158,1.83,1.31,1.62,4.32,-1.61,-0.54
EXPH5,1.34,0.985,0.765,2.67,-1.13,-0.539
SPHKAP,9.24,8.99,7.11,9.78,-1.46,-0.538
CYP2D6,1.92,1.44,1.01,1.94,-0.708,-0.537
EXT1,5.35,4.22,5.04,6.38,-1.24,-0.536
FAM157C,1.49,1.26,0.0528,2.8,-1.49,-0.534
KBTBD12,3.36,3,2.73,4.48,-1.06,-0.533
CNTN5,9.43,9.2,7.27,9.91,-1.44,-0.533
UBE2E2,9.48,8.5,8.65,9.12,-0.723,-0.533
UNC13C,8.43,8.19,6.1,8.71,-1.43,-0.532
ARHGAP5,6.24,5.71,5.67,6.24,-0.55,-0.532
LOC105373439,3.73,2.68,3.3,3.93,-0.838,-0.53
TMEM117,6.96,6.66,6.08,8.21,-1.22,-0.53
KCTD9,2.49,1.78,2.08,3.1,-0.868,-0.528
PCP4,2.21,1.28,1.79,2.54,-0.843,-0.527
LOC105375632,1.97,1.16,1.29,1.78,-0.644,-0.527
PRKAR2B,4.14,3.85,3.04,5.2,-1.22,-0.526
POLD2,1.73,1.1,1.31,2.3,-0.811,-0.523
MLF1,2.52,1.92,2.25,4.08,-1.22,-0.522
GNA14,5.66,5.93,2.37,8.12,-2.74,-0.52
CACNA2D3,8.06,7.85,7.08,9.66,-1.39,-0.52
IPPK,3.47,3.03,3.1,4.51,-0.923,-0.519
CACNA2D3-AS1,1.68,1.23,1.06,1.98,-0.687,-0.518
LOC105375630,3.06,2.16,2.44,2.9,-0.676,-0.517
SESN3,5.1,4.16,4.68,5.33,-0.79,-0.516
ELMOD1,7.12,6.73,6.37,7.72,-0.865,-0.516
CCDC102B,5.36,4.25,4.88,5.3,-0.768,-0.515
SIAH3,1.27,0.848,0.971,2.7,-1.08,-0.513
JPH1,5.53,5.33,4.91,7.36,-1.33,-0.513
FBLN7,1.65,1.47,0.412,2.98,-1.37,-0.51
BTG1,3.53,1.99,2.91,3.25,-0.94,-0.51
BCL11A,2.58,1.16,2.76,5.91,-2.29,-0.509
RIN1,3.01,2.01,2.69,3.71,-1.01,-0.509
TMEM120B,4.74,4.48,4.53,6.81,-1.27,-0.509
LOC440896,1.7,0.708,1.02,1.45,-0.708,-0.508
MAOB,5.07,3.99,4.62,5.04,-0.744,-0.508
YPEL1,2.8,2.48,2.17,3.82,-0.988,-0.507
ADRA1A,8.95,7.96,8.6,9.44,-0.913,-0.507
CHRD,2.06,0.913,1.8,2.94,-1.14,-0.506
FKBP5,6.06,5.44,4.1,5.71,-1.11,-0.506
GLCCI1,6.03,5.77,5.22,7.16,-1.1,-0.505
DDRGK1,1.61,1.17,1.19,2.17,-0.711,-0.505
LOC105376133,7.96,0.833,6.08,5.46,-3.25,-0.502
HOPX,4.32,1.31,1.68,1.75,-1.54,-0.502
PI4KAP2,2.14,1.38,1.81,2.88,-0.917,-0.502
NCKAP5,3.41,2.54,2.97,3.43,-0.662,-0.502
ZFAND6,3.52,3.4,1.84,4.49,-1.39,-0.497
GSDMB,1.8,1.52,1.37,3.08,-0.998,-0.496
MTUS2,6.4,6.32,5.04,7.87,-1.46,-0.495
LOC105374713,1.2,0.938,0.595,2.41,-1.04,-0.493
LOC101929468,3.85,3.5,2.75,4.03,-0.815,-0.493
LOC105371826,1.11,0.455,0.52,0.983,-0.559,-0.492
LOC100128340,6.64,6.29,5.78,7.05,-0.813,-0.492
MPDZ,7.24,6.53,6.79,7.25,-0.587,-0.491
RRN3P3,1.39,1.21,1.14,3.35,-1.19,-0.488
MAL2,3.64,2.71,3.41,4.57,-1.05,-0.488
ROGDI,2.32,1.94,1.73,2.84,-0.741,-0.488
MTHFD1,3.59,2.9,3.24,4.11,-0.78,-0.487
KAT2B,1.42,1.23,0.869,2.96,-1.14,-0.487
MMD2,5.42,5.64,3.49,7.81,-2.05,-0.486
NAIP,7.1,5.65,4.5,5.75,-1.35,-0.486
PCDH15,9.02,5.71,9.04,9,-1.64,-0.486
GPR63,1.03,0.727,0.469,1.96,-0.894,-0.486
FRMD3,2.44,2.36,2.36,5.07,-1.39,-0.486
LRRC57,4.51,4.28,3.07,4.91,-1.04,-0.485
OCRL,2.96,2.48,2.53,3.25,-0.601,-0.484
LOC105378211,0.843,0.333,0.39,0.978,-0.549,-0.483
GPAM,1.4,0.774,1.13,2.38,-0.941,-0.483
DDO,0.742,0.152,0.29,0.796,-0.548,-0.483
TPM1,5.2,3.87,4.96,5.65,-1.01,-0.482
LOC101927494,0.653,0.0582,0.287,1.15,-0.731,-0.482
SATB1-AS1,0.905,0.617,0.632,2.2,-0.927,-0.482
ALDH1A2,2.81,1.63,2.71,4.09,-1.28,-0.481
XKR9,4.58,2.12,3.56,3.67,-1.28,-0.481
SDC2,0.942,0.317,0.681,1.94,-0.939,-0.479
TFB1M,3.71,2.48,3.23,3.57,-0.781,-0.479
GLRA3,1.98,1.24,1.69,2.71,-0.882,-0.479
CD36,2.35,1.07,1.48,1.81,-0.803,-0.478
RORA,7.95,7.74,6.93,8.78,-1.03,-0.478
SLC12A5,3.39,2.55,3.16,4.32,-1,-0.478
LOC102724109,7.79,7.17,7.37,7.98,-0.609,-0.478
SLC35F3,9.29,9.08,8.31,10.2,-1.03,-0.477
SH3BGRL2,6.38,5.54,5.56,5.97,-0.623,-0.477
PXMP2,1.31,0.967,0.808,1.94,-0.74,-0.476
KAZN,9.35,8.01,9.14,9.8,-1,-0.476
ARID3B,2.1,1.09,1.94,3.18,-1.13,-0.475
LOC105374860,0.741,0.218,0.277,0.751,-0.498,-0.475
LOC105377901,8.45,7,7.36,7.65,-0.865,-0.475
OSBPL1A,4.87,4.64,4.16,5.87,-0.97,-0.474
PPARG,2.86,2.87,1.51,4.41,-1.45,-0.474
NPAS4,0.466,0.0945,0.0284,1.01,-0.679,-0.473
UHRF1BP1L,6.03,5.46,5.6,6.15,-0.56,-0.473
LOC105371144,1.77,1.63,1.4,3.54,-1.14,-0.473
NOL4L,2.68,2.55,2.49,4.72,-1.17,-0.473
FTCD,1.44,0.608,1.3,2.76,-1.14,-0.472
LOC102724683,2.47,1.44,2.39,3.88,-1.26,-0.472
PHYHIP,3.76,2.66,3.6,4.7,-1.1,-0.472
LOC100133286,1.36,0.435,0.575,0.956,-0.653,-0.472
GNG7,3.79,3.89,2.58,5.89,-1.6,-0.47
RAMP1,2.69,2.49,1.92,3.75,-1.01,-0.469
FH,2.24,1.23,1.74,2.1,-0.685,-0.468
PLEKHA5,9.04,8.62,8.44,9.15,-0.566,-0.468
LOC105374503,3.21,2.63,2.86,3.69,-0.706,-0.468
SLC16A2,3.88,3.63,3.6,5.15,-0.897,-0.467
STX16-NPEPL1,3.32,3.09,2.82,4.47,-0.935,-0.466
SLC7A14,6.94,4.97,6.84,7.23,-1.18,-0.465
RPS6KA5,5.67,4.16,5.61,6.59,-1.24,-0.465
GATM,2.72,2.29,2.14,2.76,-0.523,-0.463
GRAMD1B,8.4,8.11,7.57,8.87,-0.795,-0.463
LOC105375201,1.82,1.47,1.25,2.23,-0.666,-0.462
LINC01158,0.808,0.633,0.804,3.27,-1.32,-0.462
DIAPH2,9.57,9.04,8.46,9.37,-0.718,-0.461
RUNDC3A,3.48,2.41,3.29,4.16,-0.971,-0.461
ATXN7L1,6.45,6.18,6.2,7.62,-0.85,-0.461
NFAM1,0.933,0.49,0.458,1,-0.493,-0.461
MCOLN3,3.3,3.63,0.783,4.96,-1.92,-0.46
PLXNC1,2.73,2.41,2.35,3.49,-0.729,-0.459
MRPL41,3.01,1.9,2.77,3.37,-0.858,-0.459
ALAD,1.8,1.43,1.33,2.23,-0.63,-0.458
PARVA,1.98,1.43,1.57,2.09,-0.535,-0.458
TMEM181,3.98,3.3,3.81,5.1,-0.983,-0.456
CPB2-AS1,1.68,1.35,1.32,2.38,-0.693,-0.456
LOC105374013,2.38,2.19,1.96,3.68,-0.951,-0.456
CEBPB,2.5,1.48,1.55,1.88,-0.679,-0.456
FAM198A,1.61,1.2,1.27,2.15,-0.65,-0.456
DOK6,7.5,6.97,7.22,8.2,-0.762,-0.456
PDE6B,5.63,5.32,5.37,6.71,-0.819,-0.454
MVB12B,6.84,6.55,6.41,7.62,-0.747,-0.453
SHISA7,3.05,2.81,2.46,3.88,-0.827,-0.452
LOC105376025,1.17,0.783,0.703,1.43,-0.56,-0.452
H2AFY2,2.46,1.85,2.25,3.39,-0.875,-0.451
VSTM2L,3.49,2.82,3.5,5.34,-1.25,-0.45
IQCB1,4.72,4.44,4.11,5.29,-0.736,-0.45
IFNGR1,2.23,1.39,1.9,2.39,-0.663,-0.448
LOC105377574,3.84,1.7,3.21,3.28,-1.11,-0.448
LOC101927468,3.51,0.811,0.987,0.926,-1.32,-0.447
RPS29,1.72,1.21,1.29,1.75,-0.481,-0.447
LOC105374504,0.742,0.245,0.193,0.669,-0.486,-0.447
LOC105371860,0.733,0.3,0.287,0.794,-0.47,-0.447
ANTXR1,4.56,4.57,3.85,6.31,-1.22,-0.447
PDCD4,4.57,3.97,4.29,5.15,-0.729,-0.446
MAP1LC3B2,1.04,0.707,0.513,1.44,-0.634,-0.446
NLGN4X,8.39,8.01,7.72,8.47,-0.564,-0.446
PKNOX2,4.13,3.26,4.32,6.47,-1.52,-0.445
PRKCG,3.31,2.89,3.34,5.43,-1.25,-0.445
HYDIN,6.71,6.5,6.04,7.51,-0.841,-0.445
AIFM2,1.31,1.03,1.11,2.55,-0.858,-0.444
PTCH1,1.39,1.13,1.17,2.55,-0.823,-0.443
ONECUT2,1.46,0.797,1.24,2.2,-0.813,-0.443
APLP1,3.33,2.37,3.09,3.69,-0.781,-0.443
PCDH19,2.27,2.12,1.33,3.08,-0.945,-0.443
ADAMTS8,2.31,1.54,2.28,3.77,-1.13,-0.443
PREP,2.95,2.58,2.71,3.9,-0.781,-0.442
WASF1,7.44,7.08,6.76,7.56,-0.582,-0.442
ANKRD42,3.91,3.58,3.13,4.06,-0.629,-0.442
CEMIP,3.3,3.09,2.58,4,-0.82,-0.442
FUT9,4.39,4.25,4.06,5.8,-0.937,-0.441
HIPK4,3.49,3.11,2.81,3.51,-0.54,-0.44
SH3BGRL,5.03,4.54,4.83,6.02,-0.837,-0.44
MIS18BP1,3.34,2.76,3.11,4.12,-0.79,-0.439
CCDC7,5.79,4.48,5.07,5.3,-0.775,-0.439
